Subject,Category,Item,Raw,Predictions,ModelType
1,1,1,830,778.1875,Intercept
1,1,2,925,778.1875,Intercept
1,2,3,718,778.1875,Intercept
1,2,4,810,778.1875,Intercept
2,1,1,640,778.1875,Intercept
2,1,2,763,778.1875,Intercept
2,2,3,637,778.1875,Intercept
2,2,4,758,778.1875,Intercept
3,1,1,854,778.1875,Intercept
3,1,2,979,778.1875,Intercept
3,2,3,670,778.1875,Intercept
3,2,4,795,778.1875,Intercept
4,1,1,745,778.1875,Intercept
4,1,2,847,778.1875,Intercept
4,2,3,675,778.1875,Intercept
4,2,4,805,778.1875,Intercept
1,1,1,830,822.875,Fixed
1,1,2,925,822.875,Fixed
1,2,3,718,733.5,Fixed
1,2,4,810,733.5,Fixed
2,1,1,640,822.875,Fixed
2,1,2,763,822.875,Fixed
2,2,3,637,733.5,Fixed
2,2,4,758,733.5,Fixed
3,1,1,854,822.875,Fixed
3,1,2,979,822.875,Fixed
3,2,3,670,733.5,Fixed
3,2,4,795,733.5,Fixed
4,1,1,745,822.875,Fixed
4,1,2,847,822.875,Fixed
4,2,3,675,733.5,Fixed
4,2,4,805,733.5,Fixed
1,1,1,830,845.3839104,RandIntercept
1,1,2,925,845.3839104,RandIntercept
1,2,3,718,756.0089104,RandIntercept
1,2,4,810,756.0089104,RandIntercept
2,1,1,640,781.2616106,RandIntercept
2,1,2,763,781.2616106,RandIntercept
2,2,3,637,691.8866106,RandIntercept
2,2,4,758,691.8866106,RandIntercept
3,1,1,854,847.3670743,RandIntercept
3,1,2,979,847.3670743,RandIntercept
3,2,3,670,757.9920743,RandIntercept
3,2,4,795,757.9920743,RandIntercept
4,1,1,745,817.4874047,RandIntercept
4,1,2,847,817.4874047,RandIntercept
4,2,3,675,728.1124047,RandIntercept
4,2,4,805,728.1124047,RandIntercept
1,1,1,830,837.0645966,RandSlope
1,1,2,925,925.3399782,RandSlope
1,2,3,718,705.1461139,RandSlope
1,2,4,810,793.4214954,RandSlope
2,1,1,640,630.9264969,RandSlope
2,1,2,763,782.7853405,RandSlope
2,2,3,637,626.1749382,RandSlope
2,2,4,758,778.0337817,RandSlope
3,1,1,854,862.6588869,RandSlope
3,1,2,979,943.0396891,RandSlope
3,2,3,670,714.9512455,RandSlope
3,2,4,795,795.3320477,RandSlope
4,1,1,745,741.7557738,RandSlope
4,1,2,847,859.4292381,RandSlope
4,2,3,675,668.6334566,RandSlope
4,2,4,805,786.3069209,RandSlope
